20210500|0021|M1|22/05/2021||01|E001|772||6|20136165667|PESQUERA HAYDUK S.A.||3714.25|0.00|668.56|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|4382.81|USD|3.745||||||||1|
20210500|0022|M1|22/05/2021||01|E001|773||6|20136165667|PESQUERA HAYDUK S.A.||1460.55|0.00|262.90|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1723.45|USD|3.745||||||||1|
20210500|0023|M1|22/05/2021||01|E001|774||6|20136165667|PESQUERA HAYDUK S.A.||7415.10|0.00|1334.72|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|8749.82|USD|3.745||||||||1|
20210500|0024|M1|22/05/2021||01|E001|775||6|20136165667|PESQUERA HAYDUK S.A.||6185.28|0.00|1113.35|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7298.63|USD|3.745||||||||1|
20210500|0025|M1|22/05/2021||01|E001|776||6|20136165667|PESQUERA HAYDUK S.A.||7994.50|0.00|1439.01|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|9433.51|USD|3.745||||||||1|
20210500|0026|M1|22/05/2021||01|E001|777||6|20136165667|PESQUERA HAYDUK S.A.||1797.60|0.00|323.57|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|2121.17|USD|3.745||||||||1|
20210500|0027|M1|22/05/2021||01|E001|778||6|20136165667|PESQUERA HAYDUK S.A.||1685.25|0.00|303.35|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1988.60|USD|3.745||||||||1|
20210500|0028|M1|22/05/2021||01|E001|779||6|20136165667|PESQUERA HAYDUK S.A.||2051.40|0.00|369.25|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|2420.66|USD|3.745||||||||1|
20210500|0031|M1|25/05/2021||01|E001|780||6|20531954310|CONSTRUCTORA DUBAI SAC||330.51|0.00|59.49|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|390.00|PEN|1.000||||||||1|
20210500|0030|M1|27/05/2021||01|E001|781||6|20164113532|UNIVERSIDAD CESAR VALLEJO S.A.C.||2118.64|0.00|381.36|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|2500.00|PEN|1.000||||||||1|
